wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
,,,DFK0001078097,13963,"Blachnio, Henryk",,,,
,,,DFK0002107937,13988,"Buczynska, Ewa",,,,
,,,DFK0006315716,13989,"Banaszewski, Roman",,,,
,,,DFK0004721786,14103,"Burckardt, Lucius",,,,
,,,DFK0000479991,14341,"Burkhard, Linde",,,,
,,,DFK0009774663,14356,"Bischel, Peter",,,,
,,,DFK0007902851,11401,"Buri, Pol",,,,
,,,DFK0006089107,11120,"Bond, Edward",,,,
,,,DFK0009460417,14598,"Butkewitsch, Oleg",,,,
,,,DFK0005698007,14615,"Bergmann, Ingmar",,,,
,,,DFK0003256725,14560,"Bakès-Clément, Catherine",,,,
,,,DFK0000686006,14561,"Bernard, Michel",,,,
,,,DFK0006890181,15058.0,"Bittenbinder, Janos",,,,
,,,DFK0007033190,15039,"Baraniecki, Karel",,,,
,,,DFK0000503209,15351,"Bognoli, Marco",,,,
,,,DFK0005493883,15735,"Białek, Piotr",,,,
,,,DFK0007902741,15646,"Basilew, Sergej N.",,,,
,,,DFK0004955444,15660,"Berntson, Hans-Ragnar",,,,
,,,DFK0004093121,15499,"Björnsdottir, Sigridur",,,,
,,,DFK0003681552,15636,"Bruni, Bruni",,,,
,,,DFK0005397179,9349,"Bruegel, Jan",,,,
,,,DFK0007574011,15932,"Barucello, Gianfranco",,,,
,,,DFK0000956971,16254,"Bachollet, Jean-Paul",,,,
,,,DFK0001041398,16258,"Barré, B.",,,,
,,,DFK0007279776,16211,"Bigourdan, Jean-Louis",,,,
,,,DFK0009853099,16363,"Burghartz, Max",,,,
,,,DFK0004760234,16198,"Barthel, Gunnar",,,,
,,,DFK0005971500,16402,"Bartolini, Bartolini",,,,
,,,DFK0005998068,16442,"Bordaz, Jean-Philippe",,,,
,,,DFK0006324155,2114,"Bartholomé, Bartholomé",,,,
,,,DFK0000651096,16458,"Besson, Christian",,,,
,,,DFK0004529380,6132,"Bach, Bach",,,,
,,,DFK0009191904,16678,"Baudier, Denis",,,,
,,,DFK0006455169,16611,"Bataillon, Françoise",,,,
,,,DFK0006382369,16382,"Brejnev, Brejnev",,,,
,,,DFK0004319841,16925,"Baltrusaitis, Baltrusaitis",,,,
,,,DFK0004528763,16961,"Brignone, Annie",,,,
,,,DFK0001478875,17009,"Busman, Peter",,,,
,,,DFK0007083360,18069,"Buczkowski, Buczkowski",,,,
,,,DFK0000270492,5964,"Bahr, Aldred",,,,
,,,DFK0007599192,18108,"Benazzi, Benazzi",,,,
,,,DFK0001602604,9948,"Boisserée, Frères",,,,
,,,DFK0009104165,18585,"Bourges, Alain",,,,
,,,DFK0008706483,18594,"Brunart, Pascal",,,,
,,,DFK0009647081,18671,"Bayerthal, Friedrich",,,,
,,,DFK0008348866,18678,"Bissière, Caroline",,,,
,,,DFK0001131472,18649,"Bandini, Mireilla",,,,
,,,DFK0003119043,18540,"Bonacic, Bonacic",,,,
,,,DFK0008294685,18507,"Butler, Samuel",,,,
,,,DFK0007906523,18854,"Boué, François",,,,
,,,DFK0001578355,8469,"Breuer, Josef",,,,
,,,DFK0007536922,19064,"Bogustowa, Ruta",,,,
,,,DFK0003652743,19066,"Blaaderen, Maria van",,,,
,,,DFK0007165144,19035,"Bock, Anna",,,,
,,,DFK0002980188,19424,"Boslett, Eberhard",,,,
,,,DFK0003555846,19354,"Bellido, Tio",,,,
,,,DFK0002153118,3168,"Breughel, Breughel",,,,
,,,DFK0000070278,19372,"Bongiovanni, Michel",,,,
,,,DFK0005567494,19351,"Burrus, Claire",,,,
,,,DFK0005972471,19306,"Bonarski, Andrzej",,,,
,,,DFK0002634333,19321,"Bełka, Mirosław",,,,
,,,DFK0006703503,19391,"Boyle, Robert",,,,
,,,DFK0008155074,19572,"Barros, Mercedes",,,,
,,,DFK0002557153,19578,"Beaugrand, C.",,,,
,,,DFK0001484180,19599,"Berganus, John-Erik",,,,
,,,DFK0001925031,19632,"Bédia, José",,,,
,,,DFK0000227105,19611,"Bernstein, Bernstein",,,,
,,,DFK0001144382,19935,"Brauner, Vincent",,,,
,,,DFK0001244441,19966,"Biskupska, Bożena",,,,
,,,DFK0005658531,20154,"Boulboullé, Guido",,,,
,,,DFK0008197262,20343,"Böde, Dieter",,,,
,,,DFK0009247044,20345,"Bernhardt, Gunter",,,,
,,,DFK0002651869,19535,"Baumeister, Ernst",,,,
,,,DFK0009663108,20589,"Becerra, Luis German",,,,
,,,DFK0000743630,20550,"Baktschew, Baktschew",,,,
,,,DFK0005269451,4292,"Begas, Carl",,,,
,,,DFK0006985382,21248,"Bond, James",,,,
,,,DFK0005906031,21173,"Baudson, Michel",,,,
,,,DFK0008671491,21174,"Bonk, Siegfried",,,,
,,,DFK0003530278,21072,"Brewińska, Maria",,,,
,,,DFK0004575127,21307,"Brucz, Stanislaw",,,,
,,,DFK0006796719,21166,"Benjamin, Andrew",,,,
,,,DFK0000990243,17292,"Bürger, Peter",,,,
,,,DFK0000622688,21186,"Busbea, Larry",,,,
,,,DFK0002677764,21228,"Bossak Herbst, Barbara",,,,
,,,DFK0002936655,21261,"Büchner, Tely",,,,
,,,DFK0000037764,21265,"Bradley, Rizvana",,,,
,,,DFK0006768840,21321,"Barbut, Clélia",,,,
,,,DFK0000486977,21420,"Baley, Katarzyna",,,,
,,,DFK0009084898,14896,"Borowski, Wiesław",,,,
,,,DFK0004285371,21679,"Boswell, Peter",,,,
,,,DFK0005891664,21532,"Barańczyk, Antoni",,,,
,,,DFK0002651973,10960,"Biras, Francis",,,,
,,,DFK0008099892,21561,"Bosbach, Lisa",,,,
,,,DFK0001699034,12120,"Beiler, Berthold",,,,
,,,DFK0007137199,20903,"Bertonati, Emiliio",,,,
,,,DFK0000794122,21367,"Borowski, Włodek",,,,
,,,DFK0009917392,14450,"Beauffet, Jacques",,,,
,,,DFK0005954450,21886,"Block, Ursula",,,,
,,,DFK0006102340,12112,"Buddemeier, Heinz",,,,
,,,DFK0004374885,21141,"Bisanz, Elize",,,,
,,,DFK0003851639,11073,"Beyer, Ingrid",,,,
,,,DFK0006848401,21144,"Braun, Matthias",,,,
,,,DFK0004687291,12944,"Bock, Dieter",,,,
,,,DFK0002967794,20532,"Bajdor, Alicja",,,,
,,,DFK0002951941,21837,"Bechczyc-Rudnika, Maria",,,,
,,,DFK0006207348,9770,"Breuil, Breuil",,,,
,,,DFK0006957687,18333,"Blanc, Jacques",,,,
,,,DFK0009554129,5415,"Bertrand, Bertrand",,,,
,,,DFK0007187190,18339,"Bounoure, Michelie",,,,
,,,DFK0000527611,18341,"Breck, Frédérik",,,,
,,,DFK0008614752,18343,"Briand, Alain",,,,
,,,DFK0008381001,18346,"Burke, Alex",,,,
,,,DFK0009010442,17537,"Bakalarczyk, Jan",,,,
,,,DFK0004513411,17541,"Brzozowski, Marek",,,,
,,,DFK0000585345,16486,"Brockstedt, Konrad",,,,
,,,DFK0008724267,17874,"Bewertz-Smolana, Izabella",,,,
,,,DFK0005792558,17141,"Brzozowski, Jerzy",,,,
,,,DFK0005641585,16907,"Bors, Ryszard",,,,
