wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Szyszko, Feliks||0||DFK0007659569|10250|Szyszko, Feliks||||||||
|Spisak-Madejczyk, Krystyna||0||DFK0009546637|17583|Spisak-Madejczyk, Krystyna||||||||
|Stasz, Kazimierz||0||DFK0007864634|17585|Stasz, Kazimierz||||||||
|Szpyt, Stefan||0||DFK0004652914|17588|Szpyt, Stefan||||||||
|Skoczylas, Krzysztof||0||DFK0004603341|17573|Skoczylas, Krzysztof||||||||
|Szczeny, Stefan||0||DFK0005217002|15700|Szczeny, Stefan||||||||
|Sadowski, Andrzej Adam||0||DFK0002530415|10237|Sadowski, Andrzej Adam||||||||
|Stopczyński, Jan||0||DFK0003485847|10246|Stopczyński, Jan||||||||
|||0||DFK0002895632|17535|Strumłło, Andrzej||||||||
|Szałapski, Jan||0||DFK0008762142|17906|Szałapski, Jan||||||||
|Szczepaniec, Andrzej||0||DFK0008147112|13762|Szczepaniec, Andrzej||||||||
|Schultz, Bruno||0||DFK0004629103|12588|Schultz, Bruno||||||||
|||0||DFK0008395414|16892|Sramkiewicz, Kazimierz||||||||
|Shitomirski, Alexander||0||DFK0007606084|19720|Shitomirski, Alexander||||||||
|Slania, Stanislaw||0||DFK0009068062|16941|Slania, Stanislaw||||||||
|Salinas, Marcel||0||DFK0004589336|17039|Salinas, Marcel||||||||
|Sexer, Ginette||0||DFK0009954817|17041|Sexer, Ginette||||||||
|Swolinsky, Karel||0||DFK0002904532|17131|Swolinsky, Karel||||||||
|Sochoka||0||DFK0004166045|17135|Sochoka, Sochoka||||||||
|Spychalska, Joanna||0||DFK0005864002|17139|Spychalska, Joanna||||||||
|Słuszkiewicz, Beata||0||DFK0002766253|17090|Słuszkiewicz, Beata||||||||
|Strzelbicka-Mazus, Danuta||0||DFK0002448529|17151|Strzelbicka-Mazus, Danuta||||||||
|Siret, Michel||0||DFK0003963052|17043|Siret, Michel||||||||
|Szwaja, Adela||0||DFK0009563641|17375|Szwaja, Adela||||||||
|||0||DFK0008395414|17347|Sramkiewicz, Kazimierz||||||||
|Skrobiński, Józef||0||DFK0004609675|12753|Skrobiński, Józef||||||||
|Strzyż-Grabolińska, Halina||0||DFK0009798102|17363|Strzyż-Grabolińska, Halina||||||||
|Socha-Jelonek, Anna||0||DFK0005937150|12649|Socha-Jelonek, Anna||||||||
|Sadowski, Andrzej Adam||0||DFK0000820361|17316|Sadowski, Andrzej Adam||||||||
|Skorbinski, Józef||0||DFK0004832149|17317|Skorbinski, Józef||||||||
|Strzyż-Garbolińska, Halina||0||DFK0003688044|17318|Strzyż-Garbolińska, Halina||||||||
|Szajdzińska-Krawczyk, Barbara||0||DFK0008031100|17319|Szajdzińska-Krawczyk, Barbara||||||||
|Strent, Zygmunt Rafael||0||DFK0003108404|17299|Strent, Zygmunt Rafael||||||||
|Sieklucki, Tadeusz||0||DFK0001978976|17286|Sieklucki, Tadeusz||||||||
|Stasiński, Katarzyna||0||DFK0009316370|17672|Stasiński, Katarzyna||||||||
|Smykowska, Janina||0||DFK0009615704|17633|Smykowska, Janina||||||||
|Szamtloch, Jan||0||DFK0008547975|17635|Szamtloch, Jan||||||||
|Simińska-Usarewicz, Teresa||0||DFK0000450336|17951|Simińska-Usarewicz, Teresa||||||||
|Seltysicek, Andrzej||0||DFK0002527972|16249|Seltysicek, Andrzej||||||||
|Stachera, Roman||0||DFK0005724834|17959|Stachera, Roman||||||||
|Skupin, Irena||0||DFK0001368910|17960|Skupin, Irena||||||||
|Szubińska, Barbara||0||DFK0005024378|17981|Szubińska, Barbara||||||||
|Stelmaszewska-Panasa, Stanisława||0||DFK0004283670|12748|Stelmaszewska-Panasa, Stanisława||||||||
|Schroetter, Klaus||0||DFK0002698474|18277|Schroetter, Klaus||||||||
|Stevens||0|yes|DFK0001919418|4639|Stevens, Stevens||||||||
|Schmidt, H.||0|yes|DFK0009730223|635|Schmidt, H.||||||||
|Silva Moraes, Ivan da||0||DFK0002015506|10856|Silva Moraes, Ivan da||||||||
|Stein, Peter||0||DFK0007502663|15973|Stein, Peter||||||||
|Saage, Peter||0||DFK0002455215|16280|Saage, Peter||||||||
|Sadowski, Petra-Marita||0||DFK0009822280|19913|Sadowski, Petra-Marita||||||||
|Schüllner, Teresia||0||DFK0009952794|19916|Schüllner, Teresia||||||||
|Schmidt, Angelika||0||DFK0001719271|19886|Schmidt, Angelika||||||||
|Selzer, Andreas||0||DFK0004115756|15972|Selzer, Andreas||||||||
|Skarzynski||0||DFK0006902153|10815|Skarzynski, Skarzynski||||||||
|Sowinski||0||DFK0008617420|10824|Sowinski, Sowinski||||||||
|Singier, Gerard||0||DFK0001382656|10895|Singier, Gerard||||||||
|Staber, Margit||0||DFK0008060155|10794|Staber, Margit||||||||
|Siegel, Joachim||0||DFK0005494684|11117|Siegel, Joachim||||||||
|Schmidt, Siegfried F.||0||DFK0004125997|11138|Schmidt, Siegfried F.||||||||
|Schindler, Hans||0||DFK0000127467|11244|Schindler, Hans||||||||
|Stiljanow, Hildegard||0||DFK0002556868|11191|Stiljanow, Hildegard||||||||
|Schwager, Helmut||0||DFK0002679881|11186|Schwager, Helmut||||||||
|Sauernheimer, Peter||0||DFK0008553297|11876|Sauernheimer, Peter||||||||
|Schrade, Björn||0||DFK0009123740|11878|Schrade, Björn||||||||
|Schumann, Peter||0||DFK0006825263|12014|Schumann, Peter||||||||
|Schwärzler, Monika||0||DFK0003857513|12038|Schwärzler, Monika||||||||
|Söllner, Armin||0||DFK0004980018|12045|Söllner, Armin||||||||
|Smolanski||0||DFK0005432077|12257|Smolanski, Smolanski||||||||
|Szczdrowska, Elzbieta||0||DFK0006519850|12784|Szczdrowska, Elzbieta||||||||
Q7235|Sophocles||0||DFK0005105904|10557|Sophocle, Sophocle|||Q7235|Sophokles|10557|Sophocles||
|Schenkel, Ulla||0||DFK0009376435|13064|Schenkel, Ulla||||||||
|Saul, Mariane||0||DFK0006906457|13073|Saul, Mariane||||||||
|Somogyi, J.||0||DFK0002992029|13085|Somogyi, J.||||||||
|Seidel, Monika||0||DFK0008178468|13038|Seidel, Monika||||||||
|Schmitt, Norbert||0||DFK0009406023|13055|Schmitt, Norbert||||||||
|Steffanoni, Attilio||0||DFK0004805348|13141|Steffanoni, Attilio||||||||
|Sammler, Michael||0||DFK0000330532|13044|Sammler, Michael||||||||
|Stańczyk, Grzegorz||0||DFK0000469892|13727|Stańczyk, Grzegorz||||||||
|Streitenfeld, Dirk||0||DFK0008883694|13835|Streitenfeld, Dirk||||||||
|Selvi, Selman||0||DFK0006229021|13302|Selvi, Selman||||||||
|Schnajder, Piotr||0||DFK0007491453|13714|Schnajder, Piotr||||||||
|Szajdzinska, Barbara||0||DFK0004085572|13717|Szajdzinska, Barbara||||||||
|Siepmann, Eckhard||0||DFK0002309357|13723|Siepmann, Eckhard||||||||
|Shitomirski, Wladimir||0||DFK0008703304|13594|Shitomirski, Wladimir||||||||
|Steffensen, Hans V.||0||DFK0009583886|13621|Steffensen, Hans V.||||||||
|Sigurdsson, Ö.||0||DFK0005128776|13629|Sigurdsson, Ö.||||||||
|||0||DFK0002714398|13689|Sapetta, Marek||||||||
|Singer, Hans||0|yes|DFK0006279844|313|Singer, Hans||||||||
|Stelmaszewska-Panasowa, Stanislawa||0||DFK0006609442|13666|Stelmaszewska-Panasowa, Stanislawa||||||||
|Stec, Eugeniusz||0||DFK0008065610|13665|Stec, Eugeniusz||||||||
|Samarska-Pomianowska, Olga||0||DFK0002722017|13674|Samarska-Pomianowska, Olga||||||||
|Solecki, Jan||0||DFK0006315486|13950|Solecki, Jan||||||||
|Szurosik, Janos||0||DFK0000187628|13954|Szurosik, Janos||||||||
|Sowinska, Teresa||0||DFK0006214353|13960|Sowinska, Teresa||||||||
|Sternberg||0||DFK0004178682|14250|Sternberg, Sternberg||||||||
